Prompt_ID,Model,FP_Rate
P01,Llama-3.3-70B,6.35
P02,Llama-3.3-70B,7.63
P03,Llama-3.3-70B,2.08
P04,Llama-3.3-70B,7.79
P05,Llama-3.3-70B,6.96
P06,Llama-3.3-70B,4.79
P07,Llama-3.3-70B,12.28
P08,Llama-3.3-70B,7.46
P09,Llama-3.3-70B,4.59
P10,Llama-3.3-70B,10.34
P11,Llama-3.3-70B,11.24
P12,Llama-3.3-70B,8.33
P13,Llama-3.3-70B,9.33
P14,Llama-3.3-70B,10.55
P15,Llama-3.3-70B,6.90
P16,Llama-3.3-70B,8.55
P17,Llama-3.3-70B,13.64
P18,Llama-3.3-70B,4.95
P19,Llama-3.3-70B,6.96
P20,Llama-3.3-70B,6.90
P21,Llama-3.3-70B,9.84
P22,Llama-3.3-70B,8.97
P23,Llama-3.3-70B,3.92
P24,Llama-3.3-70B,0.41
P25,Llama-3.3-70B,1.27
P01,Hermes-2-Pro-7B,0.00
P02,Hermes-2-Pro-7B,12.68
P03,Hermes-2-Pro-7B,11.68
P04,Hermes-2-Pro-7B,4.41
P05,Hermes-2-Pro-7B,9.09
P06,Hermes-2-Pro-7B,7.02
P07,Hermes-2-Pro-7B,0.00
P08,Hermes-2-Pro-7B,8.05
P09,Hermes-2-Pro-7B,13.21
P10,Hermes-2-Pro-7B,9.46
P11,Hermes-2-Pro-7B,4.65
P12,Hermes-2-Pro-7B,4.05
P13,Hermes-2-Pro-7B,0.00
P14,Hermes-2-Pro-7B,0.00
P15,Hermes-2-Pro-7B,0.83
P16,Hermes-2-Pro-7B,9.00
P17,Hermes-2-Pro-7B,12.50
P18,Hermes-2-Pro-7B,0.00
P19,Hermes-2-Pro-7B,4.74
P20,Hermes-2-Pro-7B,2.44
P21,Hermes-2-Pro-7B,12.50
P22,Hermes-2-Pro-7B,7.33
P23,Hermes-2-Pro-7B,8.33
P24,Hermes-2-Pro-7B,0.00
P25,Hermes-2-Pro-7B,0.00
P01,Mistral-7B,8.16
P02,Mistral-7B,11.76
P03,Mistral-7B,8.87
P04,Mistral-7B,7.78
P05,Mistral-7B,7.02
P06,Mistral-7B,0.00
P07,Mistral-7B,6.80
P08,Mistral-7B,4.17
P09,Mistral-7B,8.02
P10,Mistral-7B,11.66
P11,Mistral-7B,0.00
P12,Mistral-7B,2.30
P13,Mistral-7B,8.40
P14,Mistral-7B,1.77
P15,Mistral-7B,7.43
P16,Mistral-7B,2.79
P17,Mistral-7B,7.35
P18,Mistral-7B,0.96
P19,Mistral-7B,0.00
P20,Mistral-7B,0.00
P21,Mistral-7B,11.25
P22,Mistral-7B,9.50
P23,Mistral-7B,8.16
P24,Mistral-7B,0.47
P25,Mistral-7B,0.00
